12060051	工程制图C	2	0
14010271	嵌入式系统设计	3	0
14010402	微机系统与接口技术	4.5	0
14020101	C语言程序设计1	2.5	0
14020111	C语言程序设计2	3	0
14030123	Java程序设计	3	2
14030343	操作系统	3	2
14030752	数据结构	3	0
14031621	移动应用开发	3	2
14031631	物联网技术	2	2
14031671	工业信息化技术	3	2
14031681	云计算	2	2
14033031	C++应用实践	3	0
14040011	DSP原理及应用	2	2
14040041	Matlab实践	2	0
14040061	毕业设计(论文)	18	0
14040102	电磁场与电磁波	3.5	0
14040111	电工生产实习	1	0
14040121	电路分析	5	0
14040131	对象关系数据库开发	2	2
14040171	光通信原理与系统	3	0
14040191	交换技术	3	0
14040242	模拟电子线路	5	0
14040251	模拟电子线路课程设计	2	0
14040291	数字电路	4	0
14040351	数字信号处理	3	0
14040371	通信电子线路	3.5	0
14040383	通信系统实验	4	0
14040402	通信原理	4.5	0
14040421	微波技术与天线	3	0
14040511	信号与系统	4	0
14040521	信息安全技术	2	2
14040532	信息论与编码	3	0
14040541	移动通信	3	0
14040622	通信网基础	3.5	0
14040651	毕业实习	1	0
14040751	随机过程	2	0
14040761	FPGA开发与应用	3	0
14040771	卫星通信系统	3	2
14040781	科技英语	2	0
14040801	SOC设计基础	2	2
14040811	电路综合课程设计	4	0
14040821	软件综合课程设计	4	0
14040831	通信信号处理综合实验	3	0
14040841	无线通信原理	2	0
20020351	线性代数	2.5	0
20040063	复变函数	3	0
20040101	概率统计	3	0
20040131	高等数学A-1	5.5	0
20040141	高等数学A-2	5.5	0
20050071	大学物理A-1	3.5	0
20050081	大学物理A-2	3	0
20050091	大学物理B-1	2.5	0
20050101	大学物理B-2	3	0
20050111	大学物理实验A-1	1.5	0
20050121	大学物理实验A-2	2	0
23030041	马克思主义基本原理	3	0
23030051	毛泽东思想和中国特色社会主义理论体系概论	3	0
23030071	思想道德修养与法律基础	2	0
23030091	中国近现代史纲要	2	0
24010111	英语强化周	0	0
24010212	大学英语拓展	4	1
24010261	大学英语A-1	6	0
24010262	大学英语A-1(听力)	0	0
24010271	大学英语A-2	6	0
24010272	大学英语A-2(听力)	0	0
28010010	大学体育-1	1	0
28010021	大学体育-2	1	0
28010030	大学体育-3	1	0
28010040	大学体育-4	1	0
28010051	体育达标	0.5	0
29010021	金工实习	3	0
29020011	社会实践	3	0
29020041	形势与政策	2	0
29030012	军训	1	0
29030021	入学教育	0.5	0
29030031	就业指导	1	0
29030042	军事理论	1	0
29050021	专业导学	0.5	0
29050031	自主学习	4	2
33010011	科技文献检索	1	0
